1,Minerals,Beverage,2
2,Tea,Beverage,2
3,Coffee,Beverage,1
4,Mineral Water,Beverage,3
5,Fruit Juice,Beverage,2
6,Milk,Beverage,2
7,Chicken Wings,Appetizer,6
8,Pate and Toast,Appetizer,7
9,Potato Skins,Appetizer,9
10,Nachos,Appetizer,9
11,Garlic Mushrooms,Appetizer,11
12,Seafood Cocktail,Appetizer,13
13,Brie Cheese,Appetizer,7
14,Seafood Alfredo,Main Course,16
15,Chicken Alfredo,Main Course,14
16,Lasagne,Main Course,14
17,Turkey Club,Main Course,12
18,Lobster Pie,Main Course,20
19,Rib Steak,Main Course,21
20,Scampi,Main Course,19
21,Turkey & Ham,Main Course,14
22,Chicken Kiev,Main Course,15
23,Apple Pie,Dessert,6
24,Sundae,Dessert,4
25,Carrot Cake,Dessert,6
26,Mud Pie,Dessert,5
27,Pavlova,Dessert,6
28,<<NONE>>,Beverage,0
29,<<NONE>>,Appetizer,0
30,<<NONE>>,Main Course,0
31,<<NONE>>,Dessert,0
